num,hook_type,platform,formula,example,emotion_trigger,psychology_principle,stop_rate,best_for,notes
27,problem_call,all,"Struggling with [specific problem]?","Struggling with low engagement on carousels?","recognition","pain point address",7.8%,"solutions content","offer fix"
28,cliffhanger,all,"[Statement]... (what happened next changed everything)","I hit post... (what happened next shocked me)","suspense","narrative tension",9.1%,"stories","must deliver payoff"
29,exclusive_reveal,all,"I'm finally sharing [protected info]","I'm finally revealing my exact content strategy","exclusivity","insider access",8.0%,"value drops","make it worth wait"
30,accountability,instagram,"Day [X] of [challenge]","Day 30 of posting every day: Here's what happened","curiosity","journey following",7.0%,"series content","builds anticipation"
31,unpopular_opinion,all,"Unpopular opinion: [stance]","Unpopular opinion: Followers don't matter","intrigue","controversy lite",8.4%,"discussions","explain reasoning"
32,value_promise,all,"In the next [time], you'll learn [outcome]","In 60 seconds, you'll know exactly how to...","anticipation","clear expectation",7.2%,"educational","deliver on promise"
33,rhetorical_setup,all,"You know what nobody tells you about [topic]?","You know what nobody tells you about viral content?","curiosity","insider knowledge",8.1%,"educational","rhetorical + answer"
34,emotional_statement,instagram,"[Emotion word] + [context]","Heartbroken. My biggest launch just failed.","empathy","emotional resonance",7.9%,"personal updates","authentic only"
35,challenge_invite,all,"I dare you to [action]","I dare you to try this for 7 days","challenge","competitive drive",6.7%,"engagement CTAs","make achievable"
36,prediction,twitter,"My prediction for [timeframe]: [statement]","My prediction for 2025: Carousels will outperform Reels","authority","thought leadership",7.4%,"trend content","be prepared to be wrong"
37,behind_scenes,instagram,"POV: [insider perspective]","POV: Behind the scenes of a viral post","curiosity","exclusive access",7.6%,"transparency content","shows real work"
38,mistake_admission,all,"My biggest mistake was [admission]","My biggest mistake was chasing followers not engagement","vulnerability","relatability",8.5%,"personal growth","lesson must follow"
39,simplified_complex,all,"[Complex topic] explained in [simple format]","Algorithm explained in 60 seconds","clarity","accessibility",7.3%,"educational","break down complexity"
40,direct_value,all,"Free [valuable thing] inside","Free content calendar template inside","value","reciprocity prime",6.9%,"lead magnets","genuine value required"
41,identity_hook,all,"If you're a [identity], this is for you","If you're a content creator who feels stuck...","belonging","tribal connection",7.7%,"niche targeting","specific > broad"
42,story_tease,all,"[Name] went from [A] to [B]. Here's how.","Sarah went from 0 to 100k in 6 months. Here's how.","inspiration","success modeling",8.2%,"case studies","real stories only"
43,counterintuitive,all,"Want more [X]? Do less [Y]","Want more engagement? Post less often","surprise","cognitive dissonance",8.3%,"thought leadership","explain logic"
44,specific_result,all,"Exactly how I [achieved specific result]","Exactly how I got 50k views on one reel","curiosity","blueprint seeking",8.0%,"how-to content","be specific"
45,time_travel,instagram,"1 year ago I [situation]. Today I [result].","1 year ago I had 100 followers. Today: 50k","transformation","journey showcase",7.8%,"milestone posts","shows progress"
46,what_if,all,"What if [possibility]?","What if your next post went viral?","imagination","possibility space",6.6%,"inspirational","opens mental doors"
47,raw_honesty,instagram,"Real talk: [honest statement]","Real talk: I almost quit last month","authenticity","trust building",8.6%,"personal brand","vulnerability wins"
48,trend_leverage,all,"[Trend] is changing [industry]. Here's what it means.","AI is changing content. Here's what it means for you","relevance","timeliness",7.5%,"trend content","connect to audience"
49,micro_story,all,"[Short complete story with twist]","Posted 10 times. Got 10 likes. Changed one thing. Got 10k","intrigue","narrative satisfaction",9.0%,"quick stories","complete arc in hook"
50,direct_benefit,all,"This [thing] will help you [specific benefit]","This framework will help you write hooks in 30 seconds","value","clear outcome",7.1%,"educational","specific promise"
